index,title,service_area,category_1,category_2,category_3,contact_name,contact_number,contact_email,address,url,description
252,Brown Girl Recovery healing circle,,mental-health,,,,,,,https://docs.google.com/forms/d/e/1FAIpQLSdr3rAlzRG09ip-vAcXXhXxk-_MbqUpATqJt-U1b6xdkRm58Q/viewform,
253,Brown Girl Recovery the Bronx heals itself community meeting,,mental-health,,,,,,,https://www.instagram.com/p/B-5l9UJgTIC/,
254,Covid19 Parenting support tips,,mental-health,,,,,,,https://www.instagram.com/p/B--nr8kgYKo/,
255,A Guide to Providing Mental Health Services to Immigrants Impacted by Changes to DACA and the COVID-19 Pandemic,,mental-health,,,,,,,https://www.informedimmigrant.com/guides/daca-mental-health-providers/#,
256,Ayana Therapy: online therapy for marginalized and intersectional communities. ,,mental-health,,,,,,,https://www.ayanatherapy.com/,
257,Therapy for Latinx Database,,mental-health,,,,,,,https://www.therapyforlatinx.com/,
258,Latinx therapists action network,,mental-health,,,,,,,https://www.latinxtherapistsactionnetwork.org/home,
259,National queer and trans therapists of color network ,,mental-health,,,,,,,https://www.nqttcn.com/,
260,"Kink, Poly, Trans & LGBQ Affirmative Providers",,mental-health,,,,,,,https://www.manhattanalternative.com/?fwp_cat=p-sliding-scale,
261,Lighthouse LGBTQ providers in NYC,,mental-health,,,,,,,https://www.lighthouse.lgbt/,
262,Grief counseling with Taz,,mental-health,,,,,,,https://acusimple.com/access/4339/#/appointments/4339/schedule/105632/,
263,"Ethel's Club two free, one hour virtual group healing & grieving sessions *open to* Black people ",,mental-health,,,,,,,https://calendly.com/ethels-club/healing-grieving-group-poc-session?month=2020-06,
264,Caribbean LGBTQ immigrant support groups biweekly meetings,,mental-health,,,,,,,https://www.instagram.com/p/CAYXeWXhBOw/?igshid=deygp1gw1md8,
265,Fact Sheet: Pediatric Multisystem Inflammatory Syndrome ,,exercise,mental-health,,,,,,https://www1.nyc.gov/assets/doh/downloads/pdf/imm/covid-19-pmis.pdf,
266,Planned Parenthood birth control telehealth,,exercise,mental-health,,,,,,https://www.plannedparenthood.org/get-care/get-care-online,
267,YMCA Virtual Workouts for Free,,exercise,mental-health,,,,,,https://www.ymcasd.org/about-y/news-center/general-health-membership-miscellaneous/virtual-membership-work-out-anywhere-anytime,
268,Video simple workouts you can do at home,,exercise,mental-health,,,,,,https://www.instagram.com/p/B99_jG4Frcu/,
269,Free CORE Power Yoga ,,exercise,mental-health,,,,,,https://www.corepoweryogaondemand.com/keep-up-your-practice,
270,Project Street Beat Mobile Health Center ,,exercise,mental-health,,,,,,https://www.plannedparenthood.org/planned-parenthood-greater-new-york/get-care/mobile-health-centers/project-street-beat,
271,Virtual fitness class,,exercise,mental-health,,,,,,https://www.instagram.com/p/B-7RUgSg_rx/?igshid=t2aj8ep6eh0k,
272,Stretching for relaxation ,,exercise,mental-health,,,,,,https://www.instagram.com/p/B--XsGZAMwKbbjJXdiQv6t2PVc9_w0uv1qryrE0/,
273,Free face masks in Brooklyn and East Harlem,,exercise,mental-health,,,,,,https://www.instagram.com/p/B-_6zHPgc-m/,
274,Virtual yoga for kids,,exercise,mental-health,,,,,,https://www.instagram.com/p/B_FrNBUJgOj/,
275,NYC Burial Assistance,,death-care,,,,929-252-7731,BurialServices@hra.nyc.gov,,https://www1.nyc.gov/site/hra/help/burial-assistance.page?fbclid=IwAR2m2heC8urbWqvndxEAxUIFHp-_WyW5YXRIl628ANOjY2cN2P2B8JlvqLA,
276,NYC Funeral planning guide ,,death-care,,,,,,,https://www1.nyc.gov/assets/dca/downloads/pdf/consumers/Consumers-Funeral-Planning-Guide.pdf,
277,Español Consulado General de México en Nueva York: Traslado de restos,,death-care,,,,,,,https://www.facebook.com/consulmexnuevayork/photos/a.245586338813914/2955915717780949/?type=3&theater,
278,Death care guide for NYC,,death-care,,,,,,,https://docs.google.com/document/u/0/d/1-rlwskO7_F8FCs5BoZqabAwNtVPLTG0au_S5o3AKCcg/mobilebasic,
279,NYC Funeral Financial Assistance,,death-care,,,,,,,https://portal.311.nyc.gov/article/?kanumber=KA-01549&fbclid=IwAR1B0qJw46sZgFv8O6zJmzyTt-DVioZmVkPvrIXZTGDghqlyp4zA0o6wVDg,
280,12 Museums offering free tours,,arts,,,,,,,https://www.travelandleisure.com/attractions/museums-galleries/museums-with-virtual-tours,
281,Met Opera Free Nightly Streams,,arts,,,,,,,https://www.metopera.org/,
282,Free coloring pages,,arts,,,,,,,https://www.lauralvarez.com/download.html,
283,Free coloring pages by M,,arts,,,,,,,https://www.instagram.com/p/B92j1gvAgP6/,
284,New York Public Library resources,,arts,,,,,,,http://view.email.nypl.org/?qs=5790c071497154113bee74a5bceaf8876743ef1a6746a24298b5a6aa5a1d35d9bd144c975a01bbca863c959ab0509b886fe358cc633dbf59fb7284de3e55b04d58f6159c0a68a52171d0134d60c0a6ad,
285,Free creative classes with Brit + Co all March,,arts,,,,,,,https://www.instagram.com/p/B92RLmyAXZn/,
286,Free ‘stay at home self care’ coloring book,,arts,,,,,,,https://selfcareisforeveryone.com/pages/free-resource-signup-page,
287,Free coloring book by Catherine Willett,,arts,,,,,,,https://www.catherinewillett.com/buy/coloringbook,
288,Free Bad Bunny coloring pages,,arts,,,,,,,https://www.sailordgonzales.com/fashion-portfolio,
289,Dominican Writers Online writing class,,arts,,,,,,,https://www.dominicanwriters.com/writing-workshops,
290,Free instagram live embroidery class,,arts,,,,,,,https://www.instagram.com/p/B-S61cBgN8X/,
291,Instagram art lesson with LoveWithJoyArt,,arts,,,,,,,https://www.instagram.com/lovewithjoyart/?hl=en,
292,IG Live art class with A1Art_,,arts,,,,,,,https://www.instagram.com/a1art_/,
293,Live poetry reading with afro-mexican poets Ariana and Alan,,arts,,,,,,,https://www.instagram.com/p/B-xbtmbAHQt/,
294,TFAC art live demos,,arts,,,,,,,https://www.instagram.com/tfacna/?hl=en,
295,Covid19 community care zine,,arts,,,,,,,https://www.instagram.com/micklikestype/?hl=en,
296,The point cdc free virtual photography classes,,arts,,,,,,,https://www.instagram.com/p/B--NHJClwtC/,
297,Zine submissions beyond borders with Otros Dreams en Accion,,arts,,,,,,,https://www.instagram.com/p/B_THhUWD854/?utm_source=ig_web_copy_link,
298,Call for artists paid opportunity,,arts,,,,,,,http://avenue50studio.org/,
